Year,Median Household Income,Median Household Income Margin of Error,County,ID Geography,Slug County
2017,50826,771.0,Kern County,05000US06029,kern-county-ca
2017,49742,1744.0,Kings County,05000US06031,kings-county-ca
2017,40446,2857.0,Lake County,05000US06033,lake-county-ca
2017,54083,2927.0,Lassen County,05000US06035,lassen-county-ca
2017,61015,262.0,Los Angeles County,05000US06037,los-angeles-county-ca
2017,48210,2108.0,Madera County,05000US06039,madera-county-ca
2017,104703,1763.0000000000002,Marin County,05000US06041,marin-county-ca
2017,51385,3637.000000000001,Mariposa County,05000US06043,mariposa-county-ca
2017,46528,1787.0,Mendocino County,05000US06045,mendocino-county-ca
2017,46338,1301.0,Merced County,05000US06047,merced-county-ca
2017,39296,4907.0,Modoc County,05000US06049,modoc-county-ca
2017,60595,6356.0,Mono County,05000US06051,mono-county-ca
2017,63249,1209.0,Monterey County,05000US06053,monterey-county-ca
2017,79637,1895.0,Napa County,05000US06055,napa-county-ca
2017,60610,2262.0,Nevada County,05000US06057,nevada-county-ca
2017,81851,570.0,Orange County,05000US06059,orange-county-ca
2017,80488,1431.0,Placer County,05000US06061,placer-county-ca
2017,50266,3476.0,Plumas County,05000US06063,plumas-county-ca
2017,60807,429.0,Riverside County,05000US06065,riverside-county-ca
2017,60239,475.0,Sacramento County,05000US06067,sacramento-county-ca
2017,80760,3889.0,San Benito County,05000US06069,san-benito-county-ca
2017,57156,594.0,San Bernardino County,05000US06071,san-bernardino-county-ca
2017,70588,617.0,San Diego County,05000US06073,san-diego-county-ca
2017,96265,1349.0,San Francisco County,05000US06075,san-francisco-county-ca
2017,57813,863.0,San Joaquin County,05000US06077,san-joaquin-county-ca
2017,67175,1720.0000000000002,San Luis Obispo County,05000US06079,san-luis-obispo-county-ca
2017,105667,1195.0,San Mateo County,05000US06081,san-mateo-county-ca
2017,68023,1420.0,Santa Barbara County,05000US06083,santa-barbara-county-ca
2017,106761,858.0,Santa Clara County,05000US06085,santa-clara-county-ca
2017,73663,1682.0,Santa Cruz County,05000US06087,santa-cruz-county-ca
2017,47258,1104.0,Shasta County,05000US06089,shasta-county-ca
2017,44190,9650.0,Sierra County,05000US06091,sierra-county-ca
2017,40884,1957.0,Siskiyou County,05000US06093,siskiyou-county-ca
2017,72950,1244.0,Solano County,05000US06095,solano-county-ca
2017,71769,1046.0,Sonoma County,05000US06097,sonoma-county-ca
2017,54260,976.0,Stanislaus County,05000US06099,stanislaus-county-ca
2017,54347,2000.0,Sutter County,05000US06101,sutter-county-ca
2017,42512,2803.0,Tehama County,05000US06103,tehama-county-ca
2017,36563,5946.0,Trinity County,05000US06105,trinity-county-ca
2017,44871,1286.0,Tulare County,05000US06107,tulare-county-ca
2017,54325,2700.0,Tuolumne County,05000US06109,tuolumne-county-ca
2017,81972,983.0,Ventura County,05000US06111,ventura-county-ca
2017,61621,1733.0,Yolo County,05000US06113,yolo-county-ca
2017,51776,2375.0,Yuba County,05000US06115,yuba-county-ca
2016,79831,739.0,Alameda County,05000US06001,alameda-county-ca
2016,62375,5989.0,Alpine County,05000US06003,alpine-county-ca
2016,57032,3247.0,Amador County,05000US06005,amador-county-ca
2016,44366,1131.0,Butte County,05000US06007,butte-county-ca
2016,53502,3912.0,Calaveras County,05000US06009,calaveras-county-ca
2016,54946,3336.0,Colusa County,05000US06011,colusa-county-ca
2016,82881,984.0,Contra Costa County,05000US06013,contra-costa-county-ca
2016,42363,3792.0,Del Norte County,05000US06015,del-norte-county-ca
2016,72586,1756.0,El Dorado County,05000US06017,el-dorado-county-ca
2016,45963,661.0,Fresno County,05000US06019,fresno-county-ca
2016,41699,3688.000000000001,Glenn County,05000US06021,glenn-county-ca
2016,42685,1286.0,Humboldt County,05000US06023,humboldt-county-ca
2016,42560,1587.0,Imperial County,05000US06025,imperial-county-ca
