County,Percent_of_Adults_with_Bachelors_or_Higher,Year,area_fips,Bachelor_Degree_Quartile
Tehama County,13.8,2016,6103,Low Education Percentage
Trinity County,20.1,2016,6105,Lower Middle Education Percentage
Tulare County,14.0,2016,6107,Low Education Percentage
Tuolumne County,19.7,2016,6109,Lower Middle Education Percentage
Ventura County,32.2,2016,6111,Upper Middle Education Percentage
Yolo County,40.0,2016,6113,High Education Percentage
Yuba County,15.5,2016,6115,Low Education Percentage
Alameda County,43.0,2015,6001,High Education Percentage
Alpine County,27.5,2015,6003,Upper Middle Education Percentage
Amador County,21.3,2015,6005,Lower Middle Education Percentage
Butte County,25.9,2015,6007,Upper Middle Education Percentage
Calaveras County,20.9,2015,6009,Lower Middle Education Percentage
Colusa County,14.6,2015,6011,Low Education Percentage
Contra Costa County,39.6,2015,6013,High Education Percentage
Del Norte County,15.1,2015,6015,Low Education Percentage
El Dorado County,32.1,2015,6017,Upper Middle Education Percentage
Fresno County,19.4,2015,6019,Lower Middle Education Percentage
Glenn County,14.9,2015,6021,Low Education Percentage
Humboldt County,28.0,2015,6023,Upper Middle Education Percentage
Imperial County,14.1,2015,6025,Low Education Percentage
Inyo County,23.9,2015,6027,Upper Middle Education Percentage
Kern County,15.4,2015,6029,Low Education Percentage
Kings County,13.4,2015,6031,Low Education Percentage
Lake County,16.0,2015,6033,Low Education Percentage
Lassen County,12.3,2015,6035,Low Education Percentage
Los Angeles County,30.3,2015,6037,Upper Middle Education Percentage
Madera County,13.3,2015,6039,Low Education Percentage
Marin County,55.8,2015,6041,High Education Percentage
Mariposa County,22.1,2015,6043,Lower Middle Education Percentage
Mendocino County,23.7,2015,6045,Upper Middle Education Percentage
Merced County,13.1,2015,6047,Low Education Percentage
Modoc County,18.0,2015,6049,Lower Middle Education Percentage
Mono County,32.3,2015,6051,Upper Middle Education Percentage
Monterey County,23.1,2015,6053,Lower Middle Education Percentage
Napa County,32.4,2015,6055,Upper Middle Education Percentage
Nevada County,33.7,2015,6057,Upper Middle Education Percentage
Orange County,37.7,2015,6059,High Education Percentage
Placer County,36.4,2015,6061,High Education Percentage
Plumas County,22.0,2015,6063,Lower Middle Education Percentage
Riverside County,20.9,2015,6065,Lower Middle Education Percentage
Sacramento County,28.8,2015,6067,Upper Middle Education Percentage
San Benito County,19.0,2015,6069,Lower Middle Education Percentage
San Bernardino County,19.0,2015,6071,Lower Middle Education Percentage
San Diego County,35.7,2015,6073,High Education Percentage
San Francisco County,53.8,2015,6075,High Education Percentage
San Joaquin County,18.4,2015,6077,Lower Middle Education Percentage
San Luis Obispo County,33.0,2015,6079,Upper Middle Education Percentage
San Mateo County,45.6,2015,6081,High Education Percentage
Santa Barbara County,32.2,2015,6083,Upper Middle Education Percentage
Santa Clara County,47.9,2015,6085,High Education Percentage
Santa Cruz County,38.2,2015,6087,High Education Percentage
Shasta County,19.6,2015,6089,Lower Middle Education Percentage
