ID Race,Race,ID Year,Year,Household Income by Race,Household Income by Race Moe,Geography,ID Geography,Slug Geography
4,"Asian",2023,"2023",123757,3943,"San Francisco County, CA","05000US06075","san-francisco-county-ca"
4,"Asian",2023,"2023",110181,5028,"San Joaquin County, CA","05000US06077","san-joaquin-county-ca"
4,"Asian",2023,"2023",95366,14373.999999999998,"San Luis Obispo County, CA","05000US06079","san-luis-obispo-county-ca"
4,"Asian",2023,"2023",181228,4389,"San Mateo County, CA","05000US06081","san-mateo-county-ca"
4,"Asian",2023,"2023",116875,14969,"Santa Barbara County, CA","05000US06083","santa-barbara-county-ca"
4,"Asian",2023,"2023",199759,2792,"Santa Clara County, CA","05000US06085","santa-clara-county-ca"
4,"Asian",2023,"2023",117866,11155,"Santa Cruz County, CA","05000US06087","santa-cruz-county-ca"
4,"Asian",2023,"2023",83958,20672,"Shasta County, CA","05000US06089","shasta-county-ca"
4,"Asian",2023,"2023",59000,16971,"Siskiyou County, CA","05000US06093","siskiyou-county-ca"
4,"Asian",2023,"2023",121283,5680,"Solano County, CA","05000US06095","solano-county-ca"
4,"Asian",2023,"2023",107200,12289,"Sonoma County, CA","05000US06097","sonoma-county-ca"
4,"Asian",2023,"2023",84740,6275,"Stanislaus County, CA","05000US06099","stanislaus-county-ca"
4,"Asian",2023,"2023",93199,9199,"Sutter County, CA","05000US06101","sutter-county-ca"
4,"Asian",2023,"2023",68125,30631.999999999996,"Tehama County, CA","05000US06103","tehama-county-ca"
4,"Asian",2023,"2023",250001,,"Trinity County, CA","05000US06105","trinity-county-ca"
4,"Asian",2023,"2023",78750,12793,"Tulare County, CA","05000US06107","tulare-county-ca"
4,"Asian",2023,"2023",91683,42229,"Tuolumne County, CA","05000US06109","tuolumne-county-ca"
4,"Asian",2023,"2023",145936,6361,"Ventura County, CA","05000US06111","ventura-county-ca"
4,"Asian",2023,"2023",81697,7128,"Yolo County, CA","05000US06113","yolo-county-ca"
4,"Asian",2023,"2023",66743,7687.999999999999,"Yuba County, CA","05000US06115","yuba-county-ca"
5,"Pacific Islander",2023,"2023",118107,14101,"Alameda County, CA","05000US06001","alameda-county-ca"
5,"Pacific Islander",2023,"2023",108966,72925,"Butte County, CA","05000US06007","butte-county-ca"
5,"Pacific Islander",2023,"2023",108977,47956,"Contra Costa County, CA","05000US06013","contra-costa-county-ca"
5,"Pacific Islander",2023,"2023",54081,44501,"El Dorado County, CA","05000US06017","el-dorado-county-ca"
5,"Pacific Islander",2023,"2023",67868,13971,"Fresno County, CA","05000US06019","fresno-county-ca"
5,"Pacific Islander",2023,"2023",78125,32841,"Kern County, CA","05000US06029","kern-county-ca"
5,"Pacific Islander",2023,"2023",2499,,"Kings County, CA","05000US06031","kings-county-ca"
5,"Pacific Islander",2023,"2023",50729,34668,"Lake County, CA","05000US06033","lake-county-ca"
5,"Pacific Islander",2023,"2023",183008,84267,"Lassen County, CA","05000US06035","lassen-county-ca"
5,"Pacific Islander",2023,"2023",107300,11362,"Los Angeles County, CA","05000US06037","los-angeles-county-ca"
5,"Pacific Islander",2023,"2023",128879,46384,"Merced County, CA","05000US06047","merced-county-ca"
5,"Pacific Islander",2023,"2023",142750,140454,"Napa County, CA","05000US06055","napa-county-ca"
5,"Pacific Islander",2023,"2023",98237,19916,"Orange County, CA","05000US06059","orange-county-ca"
5,"Pacific Islander",2023,"2023",59286,45068,"Placer County, CA","05000US06061","placer-county-ca"
5,"Pacific Islander",2023,"2023",93226,25104,"Riverside County, CA","05000US06065","riverside-county-ca"
5,"Pacific Islander",2023,"2023",96250,10763,"Sacramento County, CA","05000US06067","sacramento-county-ca"
5,"Pacific Islander",2023,"2023",75704,21834,"San Bernardino County, CA","05000US06071","san-bernardino-county-ca"
5,"Pacific Islander",2023,"2023",93299,21288,"San Diego County, CA","05000US06073","san-diego-county-ca"
5,"Pacific Islander",2023,"2023",93816,31708.000000000004,"San Francisco County, CA","05000US06075","san-francisco-county-ca"
5,"Pacific Islander",2023,"2023",127560,45225,"San Joaquin County, CA","05000US06077","san-joaquin-county-ca"
5,"Pacific Islander",2023,"2023",99594,80325,"San Mateo County, CA","05000US06081","san-mateo-county-ca"
5,"Pacific Islander",2023,"2023",67237,44963,"Santa Barbara County, CA","05000US06083","santa-barbara-county-ca"
5,"Pacific Islander",2023,"2023",97212,17378,"Santa Clara County, CA","05000US06085","santa-clara-county-ca"
5,"Pacific Islander",2023,"2023",63941,57867,"Santa Cruz County, CA","05000US06087","santa-cruz-county-ca"
5,"Pacific Islander",2023,"2023",97260,19489,"Solano County, CA","05000US06095","solano-county-ca"
5,"Pacific Islander",2023,"2023",89395,30641.000000000004,"Sonoma County, CA","05000US06097","sonoma-county-ca"
5,"Pacific Islander",2023,"2023",100068,6394,"Stanislaus County, CA","05000US06099","stanislaus-county-ca"
